|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:38|1.0|Paquete Harry Potter Edición Limitada (1-8) [Blu-ray]|4.7|194.0|Daniel Radcliffe|Blu-ray|699.0|
1|2020-07-31 00:38|2.0|Star Wars El Ascenso de Skywalker - Steelbook [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|420.0|
2|2020-07-31 00:38|3.0|Star Wars El Ascenso de Skywalker - Blu Ray + DVD [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|345.0|
3|2020-07-31 00:38|4.0|Schindler's List [Blu-ray]|4.7|334.0||Blu-ray|498.12|
4|2020-07-31 00:38|5.0|Star Wars El Ascenso de Skywalker - Blu Ray [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|285.0|
5|2020-07-31 00:38|6.0|Paquete Marvel Fase 3 Parte 1 - BR [Blu-ray]|4.9|105.0|Robert Downey Jr.|Blu-ray|529.0|
6|2020-07-31 00:38|7.0|BR - GAME OF THRONES ALL SEASONS S.1- S.8 [Blu-ray]|4.8|54.0|Emilia Clarke|Blu-ray|2099.0|
7|2020-07-31 00:38|8.0|Peter Pan. Edición Diamante|4.7|1649.0|Personajes Animados|DVD|79.0|
8|2020-07-31 00:38|9.0|Aladdin. Edición Especial|4.7|3682.0|Personajes Animados|DVD|79.0|
9|2020-07-31 00:38|10.0|La Sirenita. Edición Diamante|4.8|120.0|Personajes Animados|DVD|79.0|
10|2020-07-31 00:38|11.0|Star Wars El Ascenso de Skywalker - DVD|3.2|9.0|Adam Driver|DVD|240.0|
11|2020-07-31 00:38|12.0|Joker (Guasón) - BR [Blu-ray]|4.8|239.0|Joaquin Phoenix|Blu-ray|189.0|
12|2020-07-31 00:38|13.0|Parásitos [Blu-ray]|4.6|82.0|Kang-ho Song|Blu-ray|169.0|
13|2020-07-31 00:38|14.0|Blancanieves|4.7|34.0|Personajes Animados|DVD|79.0|
14|2020-07-31 00:38|15.0|UP - BR [Blu-ray]|5.0|7.0|Animada|Blu-ray||
15|2020-07-31 00:38|16.0|Bad Boys - 3 Pack Blu Ray [Blu-ray]|4.8|9.0|Will Smith|Blu-ray|375.0|
16|2020-07-31 00:38|17.0|Evangelion. 3 Blu-ray Pack (1.11 + 2.22 + 3.33) [Blu-ray]|4.7|609.0|Personajes Animados|Blu-ray|246.0|
17|2020-07-31 00:38|18.0|BR - GAME OF THRONES S.8 [Blu-ray]|4.8|74.0|Emilia Clarke|Blu-ray|349.0|
18|2020-07-31 00:38|19.0|Hercules|4.8|689.0|Personajes Animados|DVD|79.0|
19|2020-07-31 00:38|20.0|Universo Marvel. Fase 2 (Paquete Especial) [Blu-ray]|4.8|142.0|Robert Downey Jr.|Blu-ray|529.0|
20|2020-07-31 00:38|21.0|Paquete 50 Clásicos Disney. Edición de Colección|4.3|67.0|Personajes Animados|DVD|2989.0|
21|2020-07-31 00:38|22.0|Paquete Studio Ghibli. Volumen 5 (El Viaje de Chihiro / El Recuerdo de Marnie / La Princesa Mononoke)  [Blu-ray]|4.8|168.0|Personajes Animados|Blu-ray|189.0|
22|2020-07-31 00:38|23.0|La Cenicienta. Edición Diamante|4.8|146.0|Personajes Animados|DVD|79.0|
23|2020-07-31 00:38|24.0|Capitana Marvel (BR) [Blu-ray]|4.8|373.0|Brie Larson|Blu-ray|189.0|
24|2020-07-31 00:38|25.0|The Lighthouse [Blu-ray]|4.4|265.0|Willem Dafoe|Blu-ray|277.47|
25|2020-07-31 00:38|26.0|La Espada en la Piedra|4.8|1773.0|Personajes Animados|DVD|79.0|
26|2020-07-31 00:38|27.0|Cómo Entrenar a tu Dragón Trilogía [Blu-ray]|4.4|54.0|Jay Baruchel|Blu-ray|299.0|
27|2020-07-31 00:38|28.0|Universo Marvel. Fase 1 (Paquete Especial) [Blu-ray]|4.7|155.0|Robert Downey Jr.|Blu-ray|529.0|
28|2020-07-31 00:38|29.0|Ghibli. Volumen 05, 3 pack, azul|4.8|67.0|Personajes Animados|DVD|139.0|
29|2020-07-31 00:38|30.0|Ready or Not [Blu-ray]|4.6|261.0|Samara Weaving|Blu-ray|277.25|
30|2020-07-31 00:38|31.0|Thor: Ragnarok (Blu-ray + DVD)|4.8|3363.0|Chris Hemsworth|Blu-ray||
31|2020-07-31 00:38|32.0|Los Aristogatos (la cubierta puede variar)|4.9|28.0|Personajes Animados|DVD|79.0|
32|2020-07-31 00:38|33.0|Coleccion Akira Kurosawa. Volumen 1|4.9|20.0|Toshiro Mifune|DVD|109.0|
33|2020-07-31 00:38|34.0|Ren & Stimpy: The Almost Complete Collection|4.8|221.0|John Kricfalusi|DVD|647.51|
34|2020-07-31 00:38|35.0|Pedro Infante (5 Pack)|5.0|13.0|Pedro Infante|DVD|159.0|
35|2020-07-31 00:38|36.0|Paquete Princesas - DVD (Exclusiva en Amazon)|4.8|35.0|Animada|DVD|203.89|
36|2020-07-31 00:38|37.0|Había una vez... en Hollywood [Blu-ray]|4.7|25.0|Leonardo DiCaprio|Blu-ray|199.0|
37|2020-07-31 00:38|38.0|Avengers: Infinity War (Blu-ray + DVD)|4.8|4815.0|Robert Downey Jr.|Blu-ray|229.0|
38|2020-07-31 00:38|39.0|Pocahontas|4.6|786.0|Personajes Animados|DVD|79.0|
39|2020-07-31 00:38|40.0|La Bella y la Bestia (la portada puede variar)|4.8|3843.0|Personajes Animados|DVD|79.0|
40|2020-07-31 00:38|41.0|Trilogía Star Wars Cap. 7 al 9 - (Portada puede variar) [Blu-ray]|5.0|1.0|varios|Blu-ray|543.0|
41|2020-07-31 00:38|42.0|Portrait of a Lady on Fire (Criterion Collection) [Blu-ray]|5.0|12.0||Blu-ray|1019.47|
42|2020-07-31 00:38|43.0|Doctor Who: The Complete David Tennant [Blu-ray]|4.8|553.0||Blu-ray|569.37|
43|2020-07-31 00:38|44.0|Dragon Ball-El Ataque del Dragon (Blu-ray)|4.7|47.0|Varios Personajes Animados|Blu-ray|237.0|
44|2020-07-31 00:38|45.0|Bernardo y Bianca|4.7|331.0|Personajes Animados|DVD||
45|2020-07-31 00:38|46.0|RATATOUILLE - BR [Blu-ray]|4.6|2599.0|Animada|Blu-ray|99.0|
46|2020-07-31 00:38|47.0|Braveheart [Blu-ray]|4.7|1911.0||Blu-ray|554.72|
47|2020-07-31 00:38|48.0|Mundo Jurásico [Blu-ray]|4.1|6480.0|Chris Pratt|Blu-ray|210.0|
48|2020-07-31 00:38|49.0|Pink Floyd the Wall [Importado]|4.8|1050.0|Bob Geldof|DVD|377.36|
49|2020-07-31 00:38|50.0|El Planeta Salvaje [Blu-ray]|4.8|36.0|Barry Bostwick|Blu-ray|79.0|
50|2020-07-31 11:00|1.0|Paquete Harry Potter Edición Limitada (1-8) [Blu-ray]|4.7|197.0|Daniel Radcliffe|Blu-ray|699.0|
51|2020-07-31 11:00|2.0|Star Wars El Ascenso de Skywalker - Steelbook [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|420.0|
52|2020-07-31 11:00|3.0|Star Wars El Ascenso de Skywalker - Blu Ray [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|285.0|
53|2020-07-31 11:00|4.0|Star Wars El Ascenso de Skywalker - Blu Ray + DVD [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|345.0|
54|2020-07-31 11:00|5.0|BR - GAME OF THRONES S.8 [Blu-ray]|4.8|74.0|Emilia Clarke|Blu-ray|349.0|
55|2020-07-31 11:00|6.0|Evangelion. 3 Blu-ray Pack (1.11 + 2.22 + 3.33) [Blu-ray]|4.7|612.0|Personajes Animados|Blu-ray|246.0|
56|2020-07-31 11:00|7.0|La Sirenita. Edición Diamante|4.8|121.0|Personajes Animados|DVD|79.0|
57|2020-07-31 11:00|8.0|Schindler's List [Blu-ray]|4.7|334.0||Blu-ray|498.12|
58|2020-07-31 11:00|9.0|Blancanieves|4.7|34.0|Personajes Animados|DVD|79.0|
59|2020-07-31 11:00|10.0|Aladdin. Edición Especial|4.7|3683.0|Personajes Animados|DVD|79.0|
60|2020-07-31 11:00|11.0|Paquete Marvel Fase 3 Parte 1 - BR [Blu-ray]|4.9|105.0|Robert Downey Jr.|Blu-ray|529.0|
61|2020-07-31 11:00|12.0|Hercules|4.8|689.0|Personajes Animados|DVD|79.0|
62|2020-07-31 11:00|13.0|Paquete 50 Clásicos Disney. Edición de Colección|4.3|67.0|Personajes Animados|DVD|2989.0|
63|2020-07-31 11:00|14.0|Peter Pan. Edición Diamante|4.7|1649.0|Personajes Animados|DVD|79.0|
64|2020-07-31 11:00|15.0|Parásitos [Blu-ray]|4.6|82.0|Kang-ho Song|Blu-ray|169.0|
65|2020-07-31 11:00|16.0|La Espada en la Piedra|4.8|1773.0|Personajes Animados|DVD|79.0|
66|2020-07-31 11:00|17.0|The War of the Worlds (Criterion Collection) [Blu-ray]|||Gene Barry|Blu-ray|531.42|
67|2020-07-31 11:00|18.0|Pocahontas|4.6|787.0|Personajes Animados|DVD|79.0|
68|2020-07-31 11:00|19.0|Star Wars El Ascenso de Skywalker - DVD|3.2|9.0|Adam Driver|DVD|240.0|
69|2020-07-31 11:00|20.0|BR - GAME OF THRONES ALL SEASONS S.1- S.8 [Blu-ray]|4.8|54.0|Emilia Clarke|Blu-ray|2099.0|
70|2020-07-31 11:00|21.0|Joker (Guasón) - BR [Blu-ray]|4.8|239.0|Joaquin Phoenix|Blu-ray|189.0|
71|2020-07-31 11:00|22.0|La Bella y la Bestia (la portada puede variar)|4.8|3844.0|Personajes Animados|DVD|79.0|
72|2020-07-31 11:00|23.0|Lilo y Stitch, Portada puede variar|4.9|18.0|Personajes Animados|DVD|79.0|
73|2020-07-31 11:00|24.0|Paquete Studio Ghibli. Volumen 5 (El Viaje de Chihiro / El Recuerdo de Marnie / La Princesa Mononoke)  [Blu-ray]|4.8|168.0|Personajes Animados|Blu-ray|189.0|
74|2020-07-31 11:00|25.0|Universo Marvel. Fase 2 (Paquete Especial) [Blu-ray]|4.8|142.0|Robert Downey Jr.|Blu-ray|529.0|
75|2020-07-31 11:00|26.0|Dragon Ball Super: Broly [Blu-ray]|4.8|1671.0||Blu-ray|300.0|
76|2020-07-31 11:00|27.0|PAQUETE STANLEY KUBRICK [Blu-ray]|5.0|1.0|LOLITA (1962)|Blu-ray|745.0|
77|2020-07-31 11:00|28.0|Trilogía Star Wars Cap. 7 al 9 - (Portada puede variar) [Blu-ray]|5.0|1.0|varios|Blu-ray|543.0|
78|2020-07-31 11:00|29.0|Tarzan|4.8|1407.0|Personajes Animados|DVD|299.0|
79|2020-07-31 11:00|30.0|UP - BR [Blu-ray]|5.0|7.0|Animada|Blu-ray||
80|2020-07-31 11:00|31.0|2001: A SPACE ODYSSEY (4K UHDBD) [Blu-ray]|4.7|1208.0||Blu-ray|415.99|
81|2020-07-31 11:00|32.0|Marriage Story (Criterion Collection) [Blu-ray]|||Laura Dern|Blu-ray|561.83|
82|2020-07-31 11:00|33.0|Universo Marvel. Fase 1 (Paquete Especial) [Blu-ray]|4.7|155.0|Robert Downey Jr.|Blu-ray|529.0|
83|2020-07-31 11:00|34.0|Coleccion Akira Kurosawa. Volumen 1|4.9|20.0|Toshiro Mifune|DVD|109.0|
84|2020-07-31 11:00|35.0|La Dama y el Vagabundo. Edición Diamante|4.7|118.0|Personajes Animados|DVD|79.0|
85|2020-07-31 11:00|36.0|Teenage Mutant Ninja Turtles - Triple Feature (The Original Movie, The Secret of the Ooze, Turtles in Time)  [Blu-ray] [Importado]|4.3|724.0||Blu-ray|339.4|
86|2020-07-31 11:00|37.0|Bad Boys - 3 Pack Blu Ray [Blu-ray]|4.8|9.0|Will Smith|Blu-ray|375.0|
87|2020-07-31 11:00|38.0|Avengers Endgame (Blu-ray + DVD)|4.8|4166.0|Robert Downey Jr|Blu-ray|229.0|
88|2020-07-31 11:00|39.0|Han Solo: Una Historia de Star Wars [Blu-ray]|4.8|181.0|Alden Ehrenreich|Blu-ray|189.0|
89|2020-07-31 11:00|40.0|Ready or Not [Blu-ray]|4.6|261.0|Samara Weaving|Blu-ray|277.25|
90|2020-07-31 11:00|41.0|La Cenicienta. Edición Diamante|4.8|146.0|Personajes Animados|DVD|79.0|
91|2020-07-31 11:00|42.0|Caso de Richard Jewell  - Blu Ray [Blu-ray]|4.7|58.0|Paul Walter Hauser|Blu-ray|285.0|
92|2020-07-31 11:00|43.0|CARS 3 - BR [Blu-ray]|5.0|6.0|Animada|Blu-ray|99.0|
93|2020-07-31 11:00|44.0|Candyman Collector's Edition Blu-ray|4.6|90.0|Vanessa A. Williams|Blu-ray|277.25|
94|2020-07-31 11:00|45.0|Capitán América: Civil War [Blu-ray]|4.9|2448.0|Chris Evans|Blu-ray|99.0|
95|2020-07-31 11:00|46.0|Pinocho|4.8|129.0|Personajes Animados|DVD|79.0|
96|2020-07-31 11:00|47.0|Capitana Marvel (BR) [Blu-ray]|4.8|373.0|Brie Larson|Blu-ray|189.0|
97|2020-07-31 11:00|48.0|Los Aristogatos (la cubierta puede variar)|4.9|28.0|Personajes Animados|DVD|79.0|
98|2020-07-31 11:00|49.0|Cómo Entrenar a tu Dragón Trilogía [Blu-ray]|4.4|54.0|Jay Baruchel|Blu-ray|299.0|
99|2020-07-31 11:00|50.0|Trolls / Trolls World Tour 2-Movie Collection [Blu-ray]|5.0|1.0||Blu-ray|618.65|
100|2020-07-31 11:28|1.0|Paquete Harry Potter Edición Limitada (1-8) [Blu-ray]|4.7|197.0|Daniel Radcliffe|Blu-ray|699.0|
101|2020-07-31 11:28|2.0|Star Wars El Ascenso de Skywalker - Steelbook [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|420.0|
102|2020-07-31 11:28|3.0|Star Wars El Ascenso de Skywalker - Blu Ray [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|285.0|
103|2020-07-31 11:28|4.0|Star Wars El Ascenso de Skywalker - Blu Ray + DVD [Blu-ray]|3.2|9.0|Adam Driver|Blu-ray|345.0|
104|2020-07-31 11:28|5.0|BR - GAME OF THRONES S.8 [Blu-ray]|4.8|74.0|Emilia Clarke|Blu-ray|349.0|
105|2020-07-31 11:28|6.0|Evangelion. 3 Blu-ray Pack (1.11 + 2.22 + 3.33) [Blu-ray]|4.7|612.0|Personajes Animados|Blu-ray|246.0|
106|2020-07-31 11:28|7.0|La Sirenita. Edición Diamante|4.8|121.0|Personajes Animados|DVD|79.0|
107|2020-07-31 11:28|8.0|Schindler's List [Blu-ray]|4.7|334.0||Blu-ray|498.12|
108|2020-07-31 11:28|9.0|Blancanieves|4.7|34.0|Personajes Animados|DVD|79.0|
109|2020-07-31 11:28|10.0|Aladdin. Edición Especial|4.7|3683.0|Personajes Animados|DVD|79.0|
110|2020-07-31 11:28|11.0|Paquete Marvel Fase 3 Parte 1 - BR [Blu-ray]|4.9|105.0|Robert Downey Jr.|Blu-ray|529.0|
111|2020-07-31 11:28|12.0|Hercules|4.8|689.0|Personajes Animados|DVD|79.0|
112|2020-07-31 11:28|13.0|Paquete 50 Clásicos Disney. Edición de Colección|4.3|67.0|Personajes Animados|DVD|2989.0|
113|2020-07-31 11:28|14.0|Peter Pan. Edición Diamante|4.7|1649.0|Personajes Animados|DVD|79.0|
114|2020-07-31 11:28|15.0|Parásitos [Blu-ray]|4.6|82.0|Kang-ho Song|Blu-ray|169.0|
115|2020-07-31 11:28|16.0|La Espada en la Piedra|4.8|1773.0|Personajes Animados|DVD|79.0|
116|2020-07-31 11:28|17.0|The War of the Worlds (Criterion Collection) [Blu-ray]|||Gene Barry|Blu-ray|531.42|
117|2020-07-31 11:28|18.0|Pocahontas|4.6|787.0|Personajes Animados|DVD|79.0|
