|time|Rank|Product Names|Stars|Reviews|Authors/Company|Edition/Console|Price_std_or_min|Max_prices
0|2020-07-31 00:38|1.0|Leche Deslactosada, Leche Santa Clara, 6 pack - 750ml/caja|4.5|1494.0|||93.0|252.0
1|2020-07-31 00:38|2.0|Nespresso, Café Ispirazione Firenze Arpeggio, Paquete de 50 cápsulas de Sistema Original|4.9|577.0|||675.0|899.0
2|2020-07-31 00:38|3.0|Coca-Cola Sin Azúcar, 24 Pack - 235 ml/lata|4.7|341.0|||142.0|162.64
3|2020-07-31 00:38|4.0|Bonafont, Agua Natural, 1litro, 12 Pack|4.8|348.0|||51.8|
4|2020-07-31 00:38|5.0|Coca-Cola Original, 24 Pack - 235 ml/lata|4.6|585.0|||148.0|193.34
5|2020-07-31 00:38|6.0|Capullo Aceite de Canola, 840 ml|4.7|323.0|||26.5|
6|2020-07-31 00:38|7.0|Vodka New Amsterdan Citron 750 ml|4.4|51.0||||
7|2020-07-31 00:38|8.0|Heinz, Ketchup, 567 Gramos|4.9|81.0|||18.0|
8|2020-07-31 00:38|9.0|Betty Crocker Cake Mix Devil´s Food, Chocolate, 432 g|4.8|618.0|||34.25|42.4
9|2020-07-31 00:38|10.0|Chilito Sirilo Stevia 300ml (Paq 3 pzas)|4.9|369.0|||262.0|
10|2020-07-31 00:38|11.0|Verde Valle Arroz Super Extra de 1 Kilogramo|4.9|154.0|||31.14|
11|2020-07-31 00:38|12.0|1-2-3 Aceite Vegetal,1 Lt|4.9|276.0|||25.0|
12|2020-07-31 00:38|13.0|Monk: Endulzante Natural Fruta del Monje 400 g.|4.8|476.0|||338.0|
13|2020-07-31 00:38|14.0|Zucarmex Zulka Azúcar Empacada, 1 kg|4.9|290.0|||32.9|
14|2020-07-31 00:38|15.0|Therbal, Infusion Abango con Propoleo 25 sobres , 25 gramos.|4.8|244.0|||21.0|199.0
15|2020-07-31 00:38|16.0|Café de La Parroquia de Veracruz Bolsa de Café Molido Orgánico, 1 kg|4.6|905.0|||72.0|284.0
16|2020-07-31 00:38|17.0|PEÑAFIEL, Agua Mineral 1 l, Botella Pet, 12 piezas|4.8|249.0|||91.04|263.89
17|2020-07-31 00:38|18.0|Verde Valle Alubia Chica, 500 gramos|4.8|125.0|||17.0|58.5
18|2020-07-31 00:38|19.0|Nescafé Clasico, Café Soluble, 225 g|4.7|298.0|||88.0|
19|2020-07-31 00:38|20.0|Rosamonte Yerba Mate, 500 g|4.7|308.0|||106.43|169.0
20|2020-07-31 00:38|21.0|Morama Harina de Coco, 340 g|4.7|253.0|||85.0|
21|2020-07-31 00:38|22.0|Lala Leche UHT 100 sin Lactosa, Reducida en Grasa, 1 L, 12 Piezas|4.5|329.0|||270.0|290.04
22|2020-07-31 00:38|23.0|Knorr, Caldo de Camarón granulado, 200 gramos|4.8|258.0|||11.8|111.0
23|2020-07-31 00:38|24.0|Bragg Vinagre Orgánico de Manzana, 473 ml|4.7|363.0|||90.5|
24|2020-07-31 00:38|25.0|Saladitas Galletas, Sabor Salado, 42 paquetes de 12 gramos. 504 gramos|4.7|196.0|||33.0|197.03
25|2020-07-31 00:38|26.0|Quaker, Avena Quaker Old Fashion 475gr, 475 gramos|4.7|176.0|||34.4|229.5
26|2020-07-31 00:38|27.0|Bola de Oro Café Molido, Descafeinado, 1 kilo|4.7|390.0|||65.0|300.0
